Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Eswatini,2000,1738093840.36607,1.76017364057921,1668.9749133064,25.3429418650122,24.502,1041414.0
Eswatini,2005,3178112498.67911,5.99877647366422,2945.36394872311,6.55682319239261,27.204,1079022.0
Eswatini,2010,4438765085.93784,3.79375507745696,3992.95199562618,3.19717535038886,26.736,1111650.0
Eswatini,2015,3909281650.36128,2.04693015099366,3420.75357067279,4.97633428489006,23.285,1142813.0
Eswatini,2020,4120621324.89015,-2.86288213677992,3454.784217446,4.71206342947426,32.944,1192729.0
Ethiopia,2000,8242349617.8638,6.07321747957951,122.269202606069,6.79999995365588,3.5,67411494.0
Ethiopia,2005,12401139453.9738,11.8187659466494,158.243458082465,9.87551191119557,2.497,78367470.0
Ethiopia,2010,29933790334.3418,12.5505383459307,330.619412798644,1.44457231740682,2.3,90538514.0
Ethiopia,2015,64589328550.5953,10.3924630202332,621.845673808133,10.8365427789747,2.443,103867135.0
Ethiopia,2020,107657732424.155,6.05953089054807,905.313159254148,18.2545726775222,3.994,118917671.0
Gabon,2000,5080483628.53013,-1.88296639760897,3982.906200928,28.0893435970034,17.789,1275572.0
Gabon,2005,9582783990.85345,2.67620333310926,6547.87613955186,20.0944728946612,16.91,1463495.0
Gabon,2010,14372593020.2885,7.08988731455126,8356.74662013345,16.5643202141089,20.39,1719879.0
Gabon,2015,14383107762.6952,3.8788993950789,7047.12654634355,-8.92717245327955,19.978,2040989.0
Gabon,2020,15342236163.9943,-1.8377610635094,6605.80346077904,-9.00986856167656,21.27,2322539.0
Gambia,2000,782913871.80966,5.50000021632955,538.054072348854,2.2169826127346,9.787,1455084.0
Gambia,2005,1027701067.55688,-2.35172936176019,616.483657865348,4.11380528257159,9.963,1667037.0
Gambia,2010,1543294926.87301,5.90833580968288,801.033372714536,5.64433086097335,9.723,1926630.0
Gambia,2015,1378176608.93204,4.0580738039996,619.536364296461,9.72036242675256,7.26,2224529.0
Gambia,2020,1812170891.19069,0.591487287873974,720.335143352133,2.18875895856547,5.892,2515733.0
Ghana,2000,4982850662.20851,3.70000008164408,253.746936203344,27.230113843564,10.456,19637087.0
Ghana,2005,10744568381.4456,5.90000381855104,478.611909191028,14.963718404163,5.816,22449438.0
Ghana,2010,32197655566.5347,7.89971194051621,1263.89251760539,16.5956447322347,5.384,25474995.0
Ghana,2015,49436806230.4839,2.12075933817334,1722.77282833606,13.2529666807363,6.806,28696068.0
Ghana,2020,70008243859.8666,0.513941670628171,2195.45481659987,9.36557496583738,3.313,31887809.0
Guinea,2000,4367458866.71537,2.50306056299607,518.157066924026,6.30012395836252,4.599,8428832.0
Guinea,2005,4282468636.90501,2.99727256275818,463.17768685098,27.3908453723395,4.875,9245844.0
