Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Zimbabwe,ZWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.05918974918636,-5.71108370650366,19.6754076562536,1.77985354092071,-7.81693284075131
Zimbabwe,ZWE,Rural population,SP.RUR.TOTL,7877535,8225333,8922708,9735893,10520709
Zimbabwe,ZWE,Rural population growth (annual %),SP.RUR.TOTL.ZG,0.29885164615283,1.22563156168219,1.88614503765628,1.51611480009522,1.61214278467491
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,11892055,12483432,13356548,14399013,15526888
Zimbabwe,ZWE,Urban population,SP.URB.TOTL,4014520,4258099,4433840,4663120,5006179
Zimbabwe,ZWE,Urban population growth (annual %),SP.URB.GROW,2.14234113764789,0.408031808891155,1.06659938398526,0.973170286428678,1.75863948119156
Zimbabwe,ZWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.758,34.11,33.196,32.385,32.242
Zimbabwe,ZWE,Rural population (% of total population),SP.RUR.TOTL.ZS,66.242,65.89,66.804,67.615,67.758
Zimbabwe,ZWE,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.4138931412611,52.6077566335729,52.6447891060467,52.7041263175469,52.5301687929887
Zimbabwe,ZWE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,47.5861068587389,47.3922433664271,47.3552108939534,47.2958736824531,47.4698312070113
Zimbabwe,ZWE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,27.52175,..,24.54498,..,21.56821
Zimbabwe,ZWE,"Population, male",SP.POP.TOTL.MA.IN,5658966,5916178,6325021,6810139,7370588
Zimbabwe,ZWE,"Population, female",SP.POP.TOTL.FE.IN,6233089,6567254,7031527,7588874,8156300
Zimbabwe,ZWE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.627900021035785,5.13660110663443,4.09763792616167,0.6073776052814,604.945608779248
Zimbabwe,ZWE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,3.02267002518892,-2.43096842383404,557.201817362051
Zimbabwe,ZWE,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,..,..,..
Zimbabwe,ZWE,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..
Zimbabwe,ZWE,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Zimbabwe,ZWE,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,4.635,4.833,6.025,5.632,8.497
Zimbabwe,ZWE,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.684,4.622,5.447,5.377,8.621
Zimbabwe,ZWE,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..
Zimbabwe,ZWE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.743,4.405,4.86,5.119,8.745
Zimbabwe,ZWE,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,13371767081.7428,18395383647.4975,32012892919.37,47413919817.124,66068737786.0639
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,401.698150634766,483.334869384766,736.530151367188,939.127319335938,1117.41528320313
Tanzania,TZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.52078463603256,7.47631925974784,6.33652342666889,6.16062877406682,1.99196460647855
Tanzania,TZA,Rural population,SP.RUR.TOTL,26617045,29447289,32175087,35573494,39493910
Tanzania,TZA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.37665797070352,1.95092219383553,1.60987954341644,2.22454977687549,1.87692025569413
Tanzania,TZA,"Population, total",SP.POP.TOTL,34260139,39182076,44758488,52020962,60972798
Tanzania,TZA,Urban population,SP.URB.TOTL,7643094,9734787,12583401,16447468,21478888
Tanzania,TZA,Urban population growth (annual %),SP.URB.GROW,4.47749764065787,5.31053334668726,4.97471678009308,5.54274737644521,5.07840671077853
Tanzania,TZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.309,24.845,28.114,31.617,35.227
Tanzania,TZA,Rural population (% of total population),SP.RUR.TOTL.ZS,77.691,75.155,71.886,68.383,64.773
Tanzania,TZA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.3083977563547,50.4681758056924,50.6949776921637,50.6094504749835,50.4623922697855
Tanzania,TZA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.6916022436453,49.5318241943076,49.3050223078363,49.3905495250165,49.5376077302145
Tanzania,TZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,81.32802,..,60.03984,..,40.88048
Tanzania,TZA,"Population, male",SP.POP.TOTL.MA.IN,17024412,19407597,22068182,25693439,30204465
Tanzania,TZA,"Population, female",SP.POP.TOTL.FE.IN,17235727,19774479,22690306,26327523,30768333
Tanzania,TZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,8.20110424713742,6.42620252324851,9.42871625296149,7.59136402332241,6.42301399038681
Tanzania,TZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.92396109637479,5.03457009267163,6.20015595647403,5.58816952959298,3.29029062798325
Tanzania,TZA,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,..,..,..
Tanzania,TZA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,1.695,..,0.574
Tanzania,TZA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,12.184,..,4.044
Tanzania,TZA,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,..,..,15.527,..,5.206
Tanzania,TZA,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,..,..,1.762,..,..
Tanzania,TZA,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,..,..,1.634,..,..
